Date,Day,Month,Year,Hours,Demand,Forcast J-1,Forcast J,
01-01-12,1,1,2012,0,58315,58200,58200,
01-01-12,1,1,2012,1800,58315,57200,56900,
01-01-12,1,1,2012,3600,56231,55200,55100,
01-01-12,1,1,2012,5400,56075,56000,55400,
01-01-12,1,1,2012,7200,55532,56000,55000,
01-01-12,1,1,2012,9000,54911,55500,53600,
01-01-12,1,1,2012,10800,52496,52400,51100,
01-01-12,1,1,2012,12600,50664,50800,49200,
01-01-12,1,1,2012,14400,49161,49100,47600,
01-01-12,1,1,2012,16200,47596,47800,46400,
01-01-12,1,1,2012,18000,46656,46700,45700,
01-01-12,1,1,2012,19800,46277,46500,45200,
01-01-12,1,1,2012,21600,45827,45800,44800,
01-01-12,1,1,2012,23400,45897,45500,44700,
01-01-12,1,1,2012,25200,45580,45200,44500,
01-01-12,1,1,2012,27000,45637,45300,44500,
01-01-12,1,1,2012,28800,45770,45600,44700,
01-01-12,1,1,2012,30600,45686,45100,44400,
01-01-12,1,1,2012,32400,45730,44900,44600,
01-01-12,1,1,2012,34200,46504,46100,45600,
01-01-12,1,1,2012,36000,47421,47100,46400,
01-01-12,1,1,2012,37800,48274,48000,47400,
01-01-12,1,1,2012,39600,49114,49000,48000,
01-01-12,1,1,2012,41400,50043,49500,49000,
01-01-12,1,1,2012,43200,50975,50000,50000,
01-01-12,1,1,2012,45000,52341,51600,51600,
01-01-12,1,1,2012,46800,53651,53600,52900,
01-01-12,1,1,2012,48600,52421,51800,51300,
01-01-12,1,1,2012,50400,51025,50400,49900,
01-01-12,1,1,2012,52200,50375,49400,49300,
01-01-12,1,1,2012,54000,49148,48400,48100,
01-01-12,1,1,2012,55800,48706,48000,47600,
01-01-12,1,1,2012,57600,48335,47600,47000,
01-01-12,1,1,2012,59400,48274,47700,47100,
01-01-12,1,1,2012,61200,49256,48700,48200,
01-01-12,1,1,2012,63000,51586,51100,50600,
01-01-12,1,1,2012,64800,54425,53900,53400,
01-01-12,1,1,2012,66600,56067,55200,54700,
01-01-12,1,1,2012,68400,57333,56500,56100,
01-01-12,1,1,2012,70200,57786,56800,56400,
01-01-12,1,1,2012,72000,57752,57000,56600,
01-01-12,1,1,2012,73800,56946,56400,56000,
01-01-12,1,1,2012,75600,56054,55800,55400,
01-01-12,1,1,2012,77400,54975,54300,53900,
01-01-12,1,1,2012,79200,53890,53300,52800,
01-01-12,1,1,2012,81000,54348,54600,54100,
01-01-12,1,1,2012,82800,56577,56600,56100,
01-01-12,1,1,2012,84600,55634,54900,54600,
02-01-12,2,1,2012,0,55164,53500,53900,
02-01-12,2,1,2012,1800,53643,51900,52100,
02-01-12,2,1,2012,3600,51404,49900,49800,
02-01-12,2,1,2012,5400,50842,51200,50300,
02-01-12,2,1,2012,7200,50399,51200,50000,
02-01-12,2,1,2012,9000,50113,50100,48800,
02-01-12,2,1,2012,10800,48201,48500,47100,
02-01-12,2,1,2012,12600,47182,47600,46100,
02-01-12,2,1,2012,14400,46306,46600,45300,
02-01-12,2,1,2012,16200,46294,46500,45400,
02-01-12,2,1,2012,18000,46692,47200,46000,
02-01-12,2,1,2012,19800,48092,48600,47100,
02-01-12,2,1,2012,21600,49460,50000,48900,
02-01-12,2,1,2012,23400,52118,52000,51300,
02-01-12,2,1,2012,25200,53970,54400,53400,
02-01-12,2,1,2012,27000,56592,56500,55800,
02-01-12,2,1,2012,28800,58593,59100,58800,
02-01-12,2,1,2012,30600,60350,60800,59300,
02-01-12,2,1,2012,32400,61001,61700,60000,
02-01-12,2,1,2012,34200,62254,62800,61600,
02-01-12,2,1,2012,36000,63127,63800,62500,
02-01-12,2,1,2012,37800,64130,64700,63400,
02-01-12,2,1,2012,39600,64766,65200,64000,
02-01-12,2,1,2012,41400,65816,65900,65300,
02-01-12,2,1,2012,43200,66515,66700,66000,
02-01-12,2,1,2012,45000,66996,66700,66500,
02-01-12,2,1,2012,46800,67682,67900,67400,
02-01-12,2,1,2012,48600,66640,66300,65900,
02-01-12,2,1,2012,50400,66105,65900,65500,
02-01-12,2,1,2012,52200,65917,65600,64900,
02-01-12,2,1,2012,54000,64500,63600,63000,
02-01-12,2,1,2012,55800,63789,63100,62600,
